Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Formicinae,Nylanderia,ANT-1409,0.51,0.56,0.16,0.33,0.82,0.67,1.02,0.38,0.56,0.11,2.51,1,23,3,17,17,23
Formicinae,Nylanderia,ANT-1104,0.62,0.64,0.2,0.38,0.91,0.91,0.98,0.44,0.4,0.13,2.8,1,49,0,8,17,8
Formicinae,Nylanderia,ANT-646,0.62,0.73,0.2,0.38,0.96,0.78,0.96,0.47,0.44,0.13,2.98,1,48,0,8,8,23
Formicinae,Nylanderia,ANT-666,0.56,0.69,0.18,0.36,0.91,0.8,0.96,0.44,0.4,0.13,3.09,1,34,0,8,8,8
Myrmicinae,Octostruma,ANT-1467,0.56,0.47,0.16,0.16,0.36,0.27,0.56,0.33,0.38,0.04,2.11,2,0,2,22,22,22
Myrmicinae,Octostruma,ANT-181,0.53,0.5,0.18,0.2,0.35,0.28,0.55,0.33,0.48,0.05,1.93,3,0,2,21,21,22
Myrmicinae,Octostruma,ANT-187,0.53,0.5,0.18,0.18,0.38,0.28,0.55,0.35,0.48,0.05,2.05,3,0,2,21,21,21
Myrmicinae,Octostruma,ANT-213,0.5,0.5,0.18,0.18,0.35,0.28,0.53,0.33,0.45,0.05,2,3,0,2,21,21,21
Myrmicinae,Octostruma,ANT-217,0.5,0.5,0.18,0.18,0.35,0.25,0.53,0.33,0.45,0.05,2,3,0,2,21,21,21
Myrmicinae,Octostruma,ANT-229,0.56,0.49,0.18,0.22,0.44,0.31,0.67,0.4,0.4,0.09,2.51,2,2,2,23,23,22
Myrmicinae,Octostruma,ANT-1066,0.56,0.47,0.16,0.18,0.58,0.29,0.56,0.33,0.47,0.04,2.18,2,3,2,23,21,21
Ponerinae,Odontomachus,ANT-027,2.14,2.74,0.5,1.75,2.89,2.71,3.2,1.28,1.35,0.5,10.6,1,10,1,1,1,1
Ponerinae,Odontomachus,ANT-1656,2.4,3,1,1.8,3.33,2.8,4,1.4,1.77,0.43,12.73,2,86,1,1,1,1
